project_category,rank,keyword,mean_tfidf
computer_vision,1,segmentation,0.01757
computer_vision,2,python,0.014479
computer_vision,3,model,0.014293
computer_vision,4,detection,0.01409
computer_vision,5,dataset,0.012787
computer_vision,6,classification,0.01138
computer_vision,7,object,0.011366
computer_vision,8,images,0.011202
computer_vision,9,semantic,0.011164
computer_vision,10,pytorch,0.010561
natural_language_processing,1,language,0.021879
natural_language_processing,2,huggingface,0.016289
natural_language_processing,3,nlp,0.015492
natural_language_processing,4,model,0.015399
natural_language_processing,5,models,0.01506
natural_language_processing,6,natural,0.011293
natural_language_processing,7,python,0.009921
natural_language_processing,8,paper,0.009659
natural_language_processing,9,processing,0.009237
natural_language_processing,10,transformers,0.008994
deep_learning_framework,1,tensorflow,0.030036
deep_learning_framework,2,learning,0.018157
deep_learning_framework,3,pytorch,0.016535
deep_learning_framework,4,deep,0.015595
deep_learning_framework,5,python,0.014222
deep_learning_framework,6,model,0.011094
deep_learning_framework,7,neural,0.009061
deep_learning_framework,8,models,0.0085
deep_learning_framework,9,keras,0.008379
deep_learning_framework,10,examples,0.007872
robotics,1,ros2,0.045521
robotics,2,ros,0.034901
robotics,3,robotics,0.027034
robotics,4,robot,0.025531
robotics,5,slam,0.010179
robotics,6,robots,0.009253
robotics,7,python,0.009023
robotics,8,simulation,0.008921
robotics,9,mujoco,0.008608
robotics,10,control,0.00858
